City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Hay River,CA,2022-11-14 00:23:42,60.8156,-115.7999,31.98,74,20,9.22
252,Puerto Escondido,MX,2022-11-14 00:23:43,15.85,-97.0667,81.43,61,40,6.91
253,Brae,GB,2022-11-14 00:23:43,60.3964,-1.353,52.83,91,92,21.72
254,Castro,BR,2022-11-14 00:18:58,-24.7911,-50.0119,64.58,89,86,4.36
255,Kemijarvi,FI,2022-11-14 00:23:44,66.7131,27.4306,30.45,97,96,4.43
256,Harper,LR,2022-11-14 00:20:45,4.375,-7.7169,77.68,88,58,8.14
257,Flagstaff,US,2022-11-14 00:18:47,35.1981,-111.6513,37.06,78,100,14.97
258,Jalu,LY,2022-11-14 00:23:45,29.0331,21.5482,62.58,42,68,6.64
259,Katsuura,JP,2022-11-14 00:23:45,35.1333,140.3,60.66,59,44,21.81
260,Kautokeino,NO,2022-11-14 00:21:14,69.0125,23.0412,26.47,92,94,3.76
261,Ahipara,NZ,2022-11-14 00:23:45,-35.1667,173.1667,66.78,62,2,8.97
262,Grand Gaube,MU,2022-11-14 00:23:46,-20.0064,57.6608,71.38,70,1,1.99
263,Gazimurskiy Zavod,RU,2022-11-14 00:23:46,51.5461,118.3266,1.8,99,67,3.6
264,Port Macquarie,AU,2022-11-14 00:23:47,-31.4333,152.9167,81.9,59,99,11.1
265,Ati,TD,2022-11-14 00:23:47,13.2154,18.3353,77.41,23,4,9.53
266,Usinsk,RU,2022-11-14 00:23:47,65.9939,57.5281,10.47,95,100,6.96
267,Coihaique,CL,2022-11-14 00:23:48,-45.5752,-72.0662,57.15,58,75,0.0
268,Baghdad,IQ,2022-11-14 00:21:18,33.3406,44.4009,66.51,36,0,7.87
269,Muravlenko,RU,2022-11-14 00:23:49,63.7898,74.523,-9.78,85,65,12.44
270,Arlit,NE,2022-11-14 00:23:50,18.7369,7.3853,70.74,22,8,10.47
271,Okato,NZ,2022-11-14 00:23:50,-39.2,173.8833,69.51,58,2,6.67
272,Northam,GB,2022-11-14 00:23:51,51.0333,-4.2167,57.38,94,98,13.98
273,Pevek,RU,2022-11-14 00:23:51,69.7008,170.3133,-13.83,95,83,2.73
274,Ekibastuz,KZ,2022-11-14 00:24:52,51.6667,75.3667,34.93,55,100,25.3
275,Longyearbyen,SJ,2022-11-14 00:24:52,78.2186,15.6401,26.44,74,75,2.3
276,Tongzi,CN,2022-11-14 00:24:52,28.7829,105.0877,54.61,80,100,0.85
277,Shelburne,CA,2022-11-14 00:24:53,44.0787,-80.2041,28.76,88,69,10.47
278,Ostrovnoy,RU,2022-11-14 00:21:11,68.0531,39.5131,30.54,87,100,13.42
279,Bichura,RU,2022-11-14 00:24:53,50.5881,107.6022,12.38,86,20,2.71
280,Esperance,AU,2022-11-14 00:20:22,-33.8667,121.9,55.24,62,95,10.49
281,Qasigiannguit,GL,2022-11-14 00:24:54,68.8193,-51.1922,34.05,77,73,5.06
282,Abnub,EG,2022-11-14 00:24:54,27.2696,31.1511,64.92,51,0,6.35
283,Ylivieska,FI,2022-11-14 00:24:55,64.0833,24.55,34.88,95,19,4.38
284,Carman,CA,2022-11-14 00:24:55,49.4992,-98.0016,17.94,93,100,3.44
285,Mirnyy,RU,2022-11-14 00:24:56,62.5353,113.9611,-24.77,74,8,8.99
286,Carutapera,BR,2022-11-14 00:24:56,-1.195,-46.02,78.84,81,76,7.49
287,Chernyshevskiy,RU,2022-11-14 00:24:57,63.0128,112.4714,-30.19,98,8,3.0
288,Husavik,IS,2022-11-14 00:24:57,66.0449,-17.3389,44.8,94,100,14.85
289,Luderitz,NA,2022-11-14 00:24:58,-26.6481,15.1594,60.53,74,0,12.62
290,Sistranda,NO,2022-11-14 00:24:58,63.7256,8.834,44.56,74,100,5.48
291,Yulara,AU,2022-11-14 00:24:59,-25.2406,130.9889,69.19,38,0,15.66
